,Temp (°C),EF,class
2021-12-17,13.416792380952400,0.037101726669298100,High emission
2021-12-21,13.614499940476200,0.03251699731152310,High emission
2022-01-05,12.280634464285700,0.008523953961222310,Low emission
2022-01-11,11.71158744047620,0.009598214330197780,Low emission
2022-01-20,12.693241428571400,0.009248243105991750,Low emission
2022-01-27,12.744194464285700,0.031142957666230500,High emission
2022-02-08,11.499462380952400,0.008063224800914640,Low emission
2022-02-23,11.79831994047620,0.00931765340689374,Low emission
2022-03-04,12.708542321428600,0.014729051266496400,Low emission
2022-03-10,12.903736071428600,0.029582539875863900,High emission
2022-03-18,13.611997976190500,0.027144042226088400,High emission
2022-03-22,13.862349226190500,0.06012784333226820,High emission
2022-03-31,12.679741130952400,0.03529251533806350,High emission
2022-04-07,12.432216488095200,0.025411282031968900,High emission
2022-04-14,13.928977142857100,0.04813716016738690,High emission
2022-04-21,14.038209880952400,0.03789008044576750,High emission
2022-04-27,13.396757857142900,0.02983773463362690,High emission
2022-06-08,17.018398690476200,0.08008264097108550,High emission
2022-06-16,19.211043511904800,0.07898303478085450,High emission
2022-06-23,20.882112857142900,0.017459004103925900,High emission
2022-07-06,20.829078928571400,0.006445191275230270,Low emission
2022-07-08,20.988497857142900,0.008829817502427440,Low emission
2022-07-27,22.085734642857100,0.009809849297644000,Low emission
2022-08-03,22.17825345238100,0.007379060500468640,Low emission
2022-08-16,21.907878333333300,0.011279521786417700,Low emission
2022-08-22,21.635225416666700,0.008164557243141480,Low emission
2022-08-30,21.980394821428600,0.012241441606074800,Low emission
2022-09-22,20.718988273809500,0.012502102314342600,Low emission
2022-10-04,18.812368333333300,0.0022289486310481500,Low emission
2022-11-08,18.13172005952380,0.016980867342609000,High emission
2022-12-02,17.208217976190500,0.0008233848303419320,Low emission
2022-12-14,15.181311845238100,0.0018257939375872400,Low emission
2023-01-01,14.491557440476200,0.0,Low emission
2023-01-17,14.780729285714300,0.0014467502583686100,Low emission
2023-02-10,14.872876428571400,0.0022573313653828200,Low emission
2023-03-07,15.197037916666700,0.017755886641623500,High emission
2023-04-17,14.675229523809500,0.001515288775128760,Low emission
